<UNK>	<UNK>
What is the specific proto-oncogene that is commonly associated with the development of Chronic Myeloproliferative Disorders when mutations occur?	Mutations in the JAK2 (Janus Kinase 2) proto-oncogene are commonly associated with the development of Chronic Myeloproliferative Disorders.
What is the specific bacterial enzyme that, when mutated, can result in resistance to Rifampin?	Mutations in the DNA-dependent RNA polymerase bacterial enzyme can result in resistance to Rifampin.
Which gene is responsible for enabling HIV to escape from host neutralizing antibodies when mutations occur?	The env gene is responsible for enabling HIV to escape from host neutralizing antibodies when mutations occur.
What is the specific proto-oncogene that is overactivated when mutations occur in the PTEN gene?	The mTOR (Mechanistic Target of Rapamycin) proto-oncogene is overactivated when mutations occur in the PTEN gene.
How do mutations in the CDK4 gene contribute to the development of Melanoma?	Mutations in the CDK4 gene can cause Melanoma due to a resultant amplification of the protein's activity.
How do mutations in the CCND1 gene contribute to the development of Mantle Cell Lymphoma?	Mutations in the CCND1 gene can cause Mantle Cell Lymphoma via a t(11;14) translocation to the Ig Heavy Chain locus.
How do mutations in the c-Myc gene contribute to the development of Burkitt Lymphoma?	Mutations in the c-Myc gene can cause Burkitt Lymphoma via a t(8;14) translocation to the Ig Heavy Chain locus.
What is the effect of mutation of the frataxin gene in Friedreich ataxia?	Mutation of the frataxin gene in Friedreich ataxia leads to impairment of mitochondrial function.
What is the potential consequence of a mutation in the sonic hedgehog gene?	A mutation in the sonic hedgehog gene can cause holoprosencephaly.
What is the effect of mutant α1-antitrypsin on hepatocytes?	Mutant α1-antitrypsin polymerizes and accumulates in the endoplasmic reticulum of hepatocytes, resulting in liver damage (e.g. cirrhosis).
What is the mechanism by which mutant huntingtin protein in Huntington's Disease leads to transcriptional repression?	Mutant huntingtin protein in Huntington's Disease leads to transcriptional repression by inhibiting histone acetyltransferase.
What are the symptoms associated with musty/mousy body odor, mental retardation, and fair complexion?	Musty/mousy body odor and mental retardation and fair complexion are symptoms associated with PKU.
Which nerve innervates the muscles of the thenar eminence?	The muscles of the thenar eminence are innervated by the median nerve.
Which nerve innervates the muscles of the hypothenar eminence?	The muscles of the hypothenar eminence are innervated by the ulnar nerve.
What are the three muscles of the thenar eminence?	The three muscles of the thenar eminence are the opponens pollicis, abductor pollicis brevis, and flexor pollicis brevis.
What are the three muscles of the hypothenar eminence?	The three muscles of the hypothenar eminence are the opponens digiti minimi, abductor digiti minimi, and flexor digiti minimi brevis.
Which muscles are lost in thoracic outlet syndrome?	The muscles lost in thoracic outlet syndrome include the intrinsic hand muscles, specifically the lumbricals, interossei, thenar, and hypothenar muscles.
Which muscles are lost in Klumpke palsy?	The muscles lost in Klumpke palsy include the intrinsic hand muscles, specifically the lumbricals, interossei, hypothenar, and thenar muscles.
Which muscles are lost in Erb palsy?	The muscles lost in Erb palsy include the deltoid, supraspinatus, infraspinatus, and biceps brachii muscles.
What is the cause of muscle tingling or numbness and tetany (spasms)?	Muscle tingling or numbness and tetany (spasms) are caused by hypocalcemia.
What does a muscle strength evaluation of 4/5 indicate?	A muscle strength evaluation of 4/5 indicates some movement against resistance.
What does a muscle strength evaluation of 3/5 indicate?	A muscle strength evaluation of 3/5 indicates movement against gravity, but not resistance.
What does a muscle strength evaluation of 2/5 indicate?	A muscle strength evaluation of 2/5 indicates movement, but not against gravity.
What does a muscle strength evaluation of 1/5 indicate?	A muscle strength evaluation of 1/5 indicates muscle flicker, but no movement.
What clinical manifestations are associated with growth hormone deficiency in adults?	Muscle loss, truncal obesity, and osteoporosis are clinical manifestations of growth hormone deficiency in adults.
What is a potential symptom that muscle disorders may present with?	Muscle disorders may present with respiratory acidosis.
Why can't muscle participate in gluconeogenesis?	Muscle cannot participate in gluconeogenesis because it lacks the enzyme glucose-6-phosphatase.
What would be observed in a muscle biopsy of a patient with primary carnitine deficiency?	Muscle biopsy of a patient with primary carnitine deficiency shows elevated triglycerides.
What is a common finding in muscle biopsies of patients with mitochondrial myopathies?	Muscle biopsies of patients with mitochondrial myopathies often show "ragged red" fibers.
What effect do muscarinic antagonists have on the bronchi?	Muscarinic antagonists cause bronchodilation.
How does mupirocin work as a topical antibiotic?	Mupirocin is a topical antibiotic that works by inhibiting isoleucine t-RNA synthetase.
What is the clinical presentation of multiple sclerosis?	Multiple white matter lesions separated by time and space is characteristic of multiple sclerosis.
What clinical findings are suggestive of acute traumatic coagulopathy?	Multiple traumatic injuries, persistent oozing from wounds, and elevated PT, PTT, and bleeding time are suggestive of acute traumatic coagulopathy.
What environmental factor can worsen symptoms in patients with multiple sclerosis?	Multiple sclerosis symptoms are often worsened upon exposure to heat.
What type of dysfunction may be present in patients with multiple sclerosis due to involvement of the ANS?	Multiple sclerosis may present with bowel and bladder dysfunction due to involvement of the ANS.
What symptoms may be present in patients with multiple sclerosis due to involvement of the brainstem?	Multiple sclerosis may present with vertigo and scanning speech (mimics alcohol intoxication) due to involvement of the brainstem.
What condition may multiple sclerosis cause that results in sudden loss of vision and Marcus Gunn pupils?	Multiple sclerosis may cause optic neuritis, resulting in sudden loss of vision and Marcus Gunn pupils.
What are the diagnostic tests that can be used to diagnose multiple sclerosis?	Multiple sclerosis may be diagnosed with either MRI and/or lumbar puncture.
In what regions is multiple sclerosis more commonly seen in caucasians?	Multiple sclerosis is more commonly seen in caucasians in regions away from the equator.
What is the histological characteristic of multiple sclerosis?	Multiple sclerosis is characterized histologically by perivenular inflammatory infiltrates.
What is the characteristic level of lymphocytes in the CSF in patients with multiple sclerosis?	Multiple sclerosis is characterized by increased levels of lymphocytes in the CSF.
What is the characteristic protein that is increased in the CSF in patients with multiple sclerosis?	Multiple sclerosis is characterized by increased levels of myelin basic protein in the CSF.
What is the characteristic type of immunoglobulin that is increased in the CSF in patients with multiple sclerosis?	Multiple sclerosis is characterized by increased levels of IgG in the CSF.
Which HLA type is associated with multiple sclerosis?	Multiple sclerosis is associated with HLA DR2.
What is the pathophysiology of multiple sclerosis?	Multiple sclerosis is an autoimmune destruction of CNS myelin and oligodendrocytes.
What is the imaging modality commonly used to diagnose multiple sclerosis?	MRI is commonly used to diagnose multiple sclerosis.
What are the typical clinical features of multiple myeloma?	Multiple myeloma typically presents with lytic (punched-out) bone lesions and hypercalcemia.
What is the potential consequence of multiple myeloma depositing in tissue?	Multiple myeloma may deposit in tissue, causing primary (AL) amyloidosis.
What is the association between multiple myeloma and the appearance of red blood cells on a blood smear?	Multiple myeloma is associated with the formation of Rouleaux of red blood cells on a blood smear.
What is the association between multiple myeloma and the results of serum protein electrophoresis (SPEP)?	Multiple myeloma is associated with the presence of M spike on serum protein electrophoresis (SPEP).
What is the association between multiple myeloma and the level of serum protein?	Multiple myeloma is associated with elevated serum protein.
What is the typical presentation of multiple endocrine neoplasia in terms of the number and location of tumors?	Multiple endocrine neoplasia presents with multiple tumors, which can sometimes be bilateral.
How does the duration of the first and second stages of labor differ between multiparous and nulliparous patients?	Multiparous patients should experience faster first and second stages of labor compared to nulliparous patients.
How many different P-wave morphologies are required to diagnose multifocal atrial tachycardia?	At least three different P-wave morphologies are required to diagnose multifocal atrial tachycardia.
What is the management strategy for multifocal atrial tachycardia?	Multifocal atrial tachycardia is managed by treating the underlying cause.
How is multicystic dysplastic kidney often diagnosed before birth?	Multicystic dysplastic kidney is often diagnosed prenatally via ultrasound.
What type of glands secrete mucus into the GI tract in the duodenum specifically?	Mucus is secreted into the GI tract via Brunner glands in the duodenum.
What is the characteristic symptom of Paracoccidioidomycosis and where does it occur in the body?	Mucosal ulcers in the upper respiratory tract and mouth is characteristic of Paracoccidioidomycosis.
What is the name of the syndrome that is characterized by the presence of mucosal neuromas and marfanoid body habitus?	The syndrome that is characterized by the presence of mucosal neuromas and marfanoid body habitus is called MEN 2B.
What are some of the components of mucosal defenses?	Mucosal defenses include the secretion of mucus, HCO3-, prostaglandins, and maintaining a normal blood supply.
What is the role of normal blood supply in mucosal defenses?	Normal blood supply is important in mucosal defenses as it provides nutrients and helps to pick up leaked acids.
What type of epithelium lines the mucosa of the vagina?	The mucosa of the vagina is lined by non-keratinized stratified squamous epithelium.
In what manner does mucormycosis enter the brain?	Mucormycosis enters the brain by penetrating the cribriform plate of the skull.
What is a potential area of involvement for Mucoepidermoid carcinoma in the parotid gland?	Mucoepidermoid carcinoma in the parotid gland can potentially involve CN7.
What fungal infection should be suspected if a patient presents with mucocutaneous lesions and lymphadenopathy?	Paracoccidioidomycosis should be suspected if a patient presents with mucocutaneous lesions and lymphadenopathy.
What type of gene is mTOR?	mTOR is a protooncogene.
What is the typical management approach for MSK (musculoskeletal) back pain?	MSK back pain is typically managed with conservative management.
How can multiple sclerosis (MS) affect the detrusor muscle and lead to incontinence?	MS can lead to urge incontinence due to detrusor muscle hyperactivity and overflow incontinence due to detrusor muscle hypoactivity.
What are the common causative organisms of hospital-acquired pneumonia that require treatment with specific antibiotics?	MRSA and Pseudomonas are common causative organisms of hospital-acquired pneumonia that require treatment with Pip/Tazo (Zosyn) and Vancomycin.
Where can mRNAs be stored for future translation?	mRNAs may be stored in P-bodies for future translation.
Where does mRNA quality control occur and what components are present in the site?	mRNA quality control occurs at cytoplasmic processing bodies (P-bodies), which contain exonucleases, decapping enzymes, and microRNAs.
What type of MPGN is associated with subendothelial immune complex deposits?	MPGN type I is associated with subendothelial immune complex deposits.
What type of MPGN is associated with intramembranous immune complex deposits?	MPGN type II is associated with intramembranous immune complex deposits.
What is C3 nephritic factor and what does it stabilize in MPGN type II?	C3 nephritic factor is an IgG antibody that stabilizes C3 convertase in MPGN type II.
What are the common treatments for motion sickness (vestibular nausea)?	Motion sickness (vestibular nausea) is commonly treated with 1st generation anti-histamines such as diphenhydramine and meclizine, as well as scopolamine.
What are motilin receptor agonists used for and what is an example of one?	Motilin receptor agonists, such as erythromycin, are used to stimulate intestinal peristalsis.
When is motilin secreted from the small intestine?	Motilin is secreted from the small intestine during fasting states.
What does the presence of motile, flagellated trypanosomes on a blood smear indicate?	The presence of motile, flagellated trypanosomes on a blood smear is indicative of Trypanosoma brucei.
What does the presence of motile trophozoites on a wet mount indicate?	The presence of motile trophozoites on a wet mount indicates Trichomonas vaginalis.
What are the common causes of transudative pleural effusions?	The common causes of transudative pleural effusions are CHF (congestive heart failure), cirrhosis, and nephrotic syndrome.
In what cells are most tissue histamine sequestered inside their granules?	Most tissue histamine is sequestered inside the granules of mast cells and basophils.
What is the typical functionality of most thyroid adenomas? Can they cause hyperthyroidism and if so, how?	Most thyroid adenomas are nonfunctional ("cold"), but they may rarely cause hyperthyroidism via autonomous thyroid hormone production ("hot" or "toxic").
Which gender is most commonly affected by most subtypes of Hodgkin lymphoma?	Most subtypes of Hodgkin lymphoma are more common in men.
What is considered the most significant risk factor for postpartum depression?	The most significant risk factor for postpartum depression is prior depression.
What is considered the most significant parental risk factor for child abuse?	The most significant parental risk factor for child abuse is a history of being abused themselves.
What is the typical gram staining result for most rods and coccobacillus bacteria?	Most rods (and coccobacillus) are gram negative.
Where is the typical site of replication for most RNA viruses?	Most RNA viruses replicate in the cytoplasm.
What is the typical structure of RNA in most RNA viruses?	Most RNA viruses are single-stranded.
What is the typical structure of RNA virus genomes?	Most RNA virus genomes are single-stranded and linear.
What is the typical origin of a thromboembolus that causes a pulmonary embolism?	Most pulmonary emboli arise via a thromboembolus from the proximal deep veins of the lower extremity.
What is the typical charge of proteins (with an exception)?	Most proteins are negatively charged, except for histones.
What is the typical size of pituitary adenomas that produce ACTH?	Most pituitary adenomas that produce ACTH are microadenomas, which are less than 10 mm in diameter.
What is the most common accompanying defect in patients with truncus arteriosus?	Most patients with truncus arteriosus have an accompanying ventricular septal defect.
In what phase do most patients with Chronic Myeloid Leukemia (CML) typically present, and how do their symptoms usually develop?	Most patients with Chronic Myeloid Leukemia (CML) present in the chronic phase with an insidious onset of symptoms.
What is the typical course of acute, uncomplicated low back pain, and how long does it usually last?	Most patients with acute, uncomplicated low back pain experience spontaneous resolution of their symptoms in the first few weeks.
What is a common side effect of most opioid analgesics?	Most opioid analgesics cause miosis (constriction of the pupil).
Who is at the highest risk of developing severe fungal infections?	Most often, severe fungal infections occur in immunocompromised/suppressed patients.
How are most of the secreted bile salts recirculated back to the liver?	Most of the secreted bile salts are recirculated to the liver via enterohepatic circulation.
In what category do most of the Bunyaviruses fall, and what is another term used to describe them?	Most of the Bunyaviruses are also arboviruses.
Which serum tumor marker is commonly elevated in Prostate Cancer?	Most notably, the serum tumor marker PSA is elevated in Prostate Cancer.
Which serum tumor marker is commonly elevated in testicular germ tumors and ovarian dysgerminoma?	Most notably, the serum tumor marker LDH is elevated in testicular germ tumors and ovarian dysgerminoma.
Which serum tumor marker is commonly elevated in patients with neuroendocrine tumors?	Most notably, the serum tumor marker Chromogranin is elevated in patients with neuroendocrine tumors.
In which cancer is the serum tumor marker Calcitonin commonly elevated?	Most notably, the serum tumor marker Calcitonin is seen elevated in Medullary Thyroid Carcinoma.
In which cancer is the serum tumor marker CA-125 commonly elevated?	Most notably, the serum tumor marker CA-125 is seen elevated in ovarian cancers.
In which cancer is the serum tumor marker CA 19-9 commonly elevated?	Most notably, the serum tumor marker CA 19-9 is seen elevated in Pancreatic Adenocarcinoma.
In which cancer is the serum tumor marker CA 15-3 / CA 27-29 commonly elevated?	Most notably, the serum tumor marker CA 15-3 / CA 27-29 are seen elevated in Breast Cancer.
What is the term used to describe the chromaticity of most microcytic anemias?	Most microcytic anemias are also hypo-chromic.
What is the gender distribution of individuals with kleptomania and pyromania, respectively?	Most individuals with kleptomania are female, while most individuals with pyromania are male.
What type of pathogens are responsible for most infections within the first month following liver transplantation?	Most infections within the first month following liver transplantation are due to bacterial pathogens.
What type of pathogens are responsible for most infections during months 1-6 following liver transplantation?	Most infections during months 1-6 following liver transplantation are due to opportunistic pathogens.
What is the most important modifiable behavioral risk factor associated with preterm labor and birth?	The most important modifiable behavioral risk factor associated with preterm labor and birth is smoking.
What is the most important finding in predicting the morbidity of a temporal bone fracture?	The presence of pneumolabyrinth is the most important finding in predicting the morbidity of a temporal bone fracture.
What is the typical presentation of fibroids?	Most fibroids are asymptomatic.
Where do most fibers in the optic tract project to within the thalamus?	Most fibers in the optic tract project to the lateral geniculate body of the thalamus.
By what point in gestation do most fetuses spontaneously rotate into a longitudinal lie?	Most fetuses spontaneously rotate into a longitudinal lie by term, which is typically around week 37-42, denoted as "T".
What is the most effective intervention for slowing the progression of diabetic nephropathy?	The most effective intervention for slowing the progression of diabetic nephropathy is controlling hypertension.
Where do most DNA viruses replicate?	Most DNA viruses replicate in the nucleus.
What essential amino acid is required by most disorders of the urea cycle, especially during episodes of hyperammonemia?	Most disorders of the urea cycle require arginine as an essential amino acid, particularly during episodes of hyperammonemia.
According to most current guidelines, how often should routine screening mammography be performed and at what age should it begin?	Most current guidelines suggest routine screening mammography every two years beginning at age over 50.
Is surgical intervention required for most communicating hydroceles?	Most communicating hydroceles do not require surgical intervention.
What is the most common site of osteonecrosis?	The most common site of osteonecrosis is the femur head.
What is the most common type of lung cancer in females and non-smokers?	The most common type of lung cancer in females and non-smokers is adenocarcinoma.
What is the most common type of laryngeal cancer in children who present with stridor?	The most common type of laryngeal cancer in children who present with stridor is laryngeal papilloma with stridor or cough.
What is the most common cause of endocarditis associated with S. aureus?	The most common cause of endocarditis associated with S. aureus is intravenous drug use (IVDU).
What is the most common complication that can arise from peptic ulcer disease?	The most common complication that can arise from peptic ulcer disease is bleeding.
What is the most common underlying condition associated with optic neuritis?	The most common underlying condition associated with optic neuritis is multiple sclerosis.
What is the most common cause of hypercalcemia?	The most common cause of hypercalcemia is primary hyperparathyroidism.
What is the most common underlying condition associated with heavy, regular menstrual bleeding in adolescents?	The most common underlying condition associated with heavy, regular menstrual bleeding in adolescents is von Willebrand disease.
What is the most common cause of chronic pancreatitis?	The most common cause of chronic pancreatitis is alcoholism, accounting for 95% of cases.
What is the most common underlying condition associated with primary hyperparathyroidism?	The most common underlying condition associated with primary hyperparathyroidism is parathyroid adenoma.
What are the three most common bacteria associated with neonatal sepsis?	The three most common bacteria associated with neonatal sepsis are Group B Streptococcus (GBS), Escherichia coli (E. coli), and Listeria.
What is the most common type of primary nephrotic syndrome in Caucasian adults?	The most common type of primary nephrotic syndrome in Caucasian adults is membranous nephropathy.
What is the Gram stain result for most cocci, and what are two examples of cocci bacteria?	Most cocci bacteria are Gram positive. Examples of cocci bacteria include Streptococcus and Staphylococcus.
At what age are most children typically able to tie their own shoelaces?	Most children are typically able to tie their own shoelaces at around age 5.
What is the most common histological type of cervical cancer?	The most common histological type of cervical cancer is squamous cell carcinoma.
Is spontaneous remission common in cases of pulmonary sarcoidosis?	Yes, most cases of pulmonary sarcoidosis have a high rate of spontaneous remission.
How do most cases of primary tuberculosis typically resolve, and what is the resulting state of the infection?	Most cases of primary tuberculosis resolve via fibrosis and calcification, resulting in a latent infection.
In which populations are most cases of primary tuberculosis commonly observed?	Most cases of primary tuberculosis are commonly observed in children and the immunocompromised.
What is the underlying cause of most cases of papillary thyroid carcinoma?	Most cases of papillary thyroid carcinoma are caused by activating mutations of the MAPK signaling pathway.
What genetic mutations are responsible for the majority of cases of diffuse gastric cancer?	Most cases of diffuse gastric cancer are caused by E-cadherin mutations.
In what age group do most cases of sporadic ALS typically occur?	Most cases of sporadic ALS typically occur in middle-aged adults.
Which Carbapenem has limited coverage against Pseudomonas aeruginosa, despite most Carbapenems being effective against it?	Ertapenem has limited coverage against Pseudomonas aeruginosa, despite most Carbapenems being effective against it.
What is the mechanism of action for most atypical antipsychotics?	Most atypical antipsychotics exert their effects by blocking the D2 dopamine receptor.
What is the main cause of most adverse drug reactions?	Most adverse drug reactions are caused by the known pharmacologic properties of the drug and are predictable.
What is the composition of most adult hemoglobin and what is it commonly referred to as?	Most adult hemoglobin is composed of 2 α and 2 β subunits, and it is commonly referred to as HbA.
Where do most corticospinal tract fibers decussate and what is the structure called?	Most (80-90%) of the corticospinal tract fibers decussate just below the caudal medulla at the pyramidal decussation.
When are symptoms of asthma more frequent and severe in individuals with more severe forms of asthma?	More severe forms of asthma are associated with more frequent and severe symptoms, especially during nighttime.
How is Moraxella catarrhalis transmitted from one person to another?	Moraxella catarrhalis is transmitted through respiratory droplets.
Where is Moraxella catarrhalis normally found in the body as a part of the normal flora?	Moraxella catarrhalis is normal flora of the respiratory tract.
What are some of the medical conditions that Moraxella catarrhalis is associated with causing?	Moraxella catarrhalis is associated with causing COPD exacerbations, otitis media in children, and sinusitis.
What is the gram stain result and morphology of Moraxella catarrhalis?	Moraxella catarrhalis are gram negative diplococci.
What type of asthma are Montelukast and zafirlukast especially effective at treating?	Montelukast and zafirlukast are especially effective at treating aspirin-induced asthma.
What is the purpose of monofilament testing?	Monofilament testing is useful for determining the presence of peripheral neuropathy.
What conditions are associated with monocytosis, which is an increase in monocytes?	Monocytosis, which is an increase in monocytes, is associated with chronic inflammatory states and malignancy.
Who is most likely to develop monoclonal gammopathy of undetermined significance (MGUS)?	Monoclonal gammopathy of undetermined significance (MGUS) is common in the elderly.
What is an infusion reaction and when can it occur with monoclonal antibodies?	An infusion reaction is a possible adverse event that can occur immediately upon IV administration of monoclonal antibodies.
What medical conditions are monoclonal antibodies against TNF-a primarily used to treat?	Monoclonal antibodies against TNF-a are primarily used to treat Rheumatoid Arthritis and Inflammatory Bowel Disease.
Can monobactams penetrate the CNS?	Yes, monobactams can penetrate the CNS.
What types of infections can be treated with monobactams?	Monobactams can treat meningitis and pneumonia caused by aerobic gram negative rods only.
What class of antibiotics do monobactams such as Aztreonam belong to?	Monobactams such as Aztreonam belong to the β-lactam class of antibiotics.
What do monobactams bind to?	Monobactams bind to penicillin binding protein transpeptidases.
What is the potential consequence of consuming tyramine-containing foods while taking monoamine oxidase inhibitors?	Consuming tyramine-containing foods while taking monoamine oxidase inhibitors can cause a hypertensive crisis.
What is Monckeberg sclerosis and is it clinically significant?	Monckeberg sclerosis is a non-obstructive condition and therefore is not clinically significant.
What is Molluscum contagiosum and how is it typically transmitted in adults?	Molluscum contagiosum is a viral skin infection that is typically seen in children but can be sexually transmitted in adults.
What is the histological characteristic of Molluscum contagiosum?	Molluscum contagiosum is characterized histologically by the presence of cytoplasmic inclusions known as molluscum bodies.
What type of virus is Molluscum contagiosum and what type of infection does it cause?	Molluscum contagiosum is a poxvirus that causes localized skin infections.
What type of disorder is MODY and how is it similar to 2DM?	MODY is an autosomal dominant disorder seen in young patients that is similar to type 2 diabetes mellitus.
In moderate global cerebral ischemia, which areas of the brain are typically affected and which area is the most vulnerable?	Moderate global cerebral ischemia typically affects the hippocampus (most vulnerable), neocortex, cerebellum, and watershed areas of the brain.
What is the range of blood alcohol concentration that may be present in moderate ethanol intoxication?	Moderate ethanol intoxication may present with blood alcohol concentration between 0.15-0.3%.
At what age are the MMR (measles, mumps, and rubella) and varicella (chickenpox) vaccines first recommended to be administered?	The MMR and varicella vaccines are first recommended to be administered at 1 year of age.
What are the characteristic features or conditions that are associated with mixed connective tissue disease?	Mixed connective tissue disease is associated with features of systemic lupus erythematosus (SLE), scleroderma, and/or polymyositis.
What are the locations where Mixed Cellularity Hodgkin Lymphoma commonly arises?	Mixed Cellularity Hodgkin Lymphoma commonly arises in the spleen and abdominal lymph nodes.
Where does the mixed blood in the fetal inferior vena cava (IVC) enter?	The mixed blood in the fetal inferior vena cava (IVC) enters the right atrium.
What are the common causes of mitral regurgitation, and in what conditions is it often observed?	Mitral regurgitation is often observed in conditions such as ischemic heart disease (post-MI) and LV dilatation.
What is the cause of mitral valve prolapse, and what happens to the valve as a result?	Mitral valve prolapse is caused by myxoid degeneration of the valve, which makes it floppy.
What are some of the complications that can arise from mitral valve prolapse, and how common are they?	Complications from mitral valve prolapse are rare, but they can include infective endocarditis, arrhythmia, and severe mitral regurgitation.
What is the most common cause of mitral stenosis, and how does it develop?	Mitral stenosis is usually due to chronic rheumatic valve disease, which causes scarring and thickening of the valve leaflets.
How does mitral stenosis affect pulmonary vascular resistance, and what are the implications of this?	Mitral stenosis is associated with high pulmonary vascular resistance, which can lead to pulmonary hypertension and right heart failure.
What are the effects of misoprostol on the gastric mucosa, specifically in terms of mucous barrier production and acid production?	Misoprostol promotes increased production and secretion of a gastric mucous barrier and decreased acid production in the stomach.
What is a common side effect of misoprostol that limits its usage?	Misoprostol is not used very often due to its ability to cause diarrhea as a side effect.
Who should not use misoprostol due to its abortifacient effects?	Misoprostol is contraindicated in women of childbearing potential due to its abortifacient effects.
What is the chemical compound that Misoprostol is a synthetic analog of?	Misoprostol is a synthetic analog of PGE1.
What is the purpose of using Misoprostol, a PGE1 mimic, in relation to uterine contraction?	Misoprostol is a PGE1 mimic which can be used to promote uterine contraction for the purpose of terminating pregnancy.
What is the medical condition that Misoprostol can be used to prevent in relation to NSAID usage?	Misoprostol can be used to prevent NSAID-induced peptic ulcers.
How can Misoprostol be clinically used to treat gastric ulcers and what is the mechanism by which it achieves this?	Misoprostol can be clinically used to treat gastric ulcers by inhibiting the secretion of gastric acid at high doses.
What is a possible adverse effect of Mirtazapine and how does it manifest?	Mirtazapine may cause dry mouth as an adverse effect.
What type of adrenergic antagonist is Mirtazapine and what neurotransmitters does it increase the pre-synaptic release of?	Mirtazapine is an α2-adrenergic antagonist that increases the pre-synaptic release of serotonin and norepinephrine.
What type of histamine receptor antagonist is Mirtazapine?	Mirtazapine is a H1 histamine receptor antagonist.
What type of adrenergic antagonist is Mirtazapine?	Mirtazapine is a selective α2 adrenergic antagonist.
What effects can Mirtazapine have on appetite and weight?	Mirtazapine can cause increased appetite and weight gain.
What type of depressed patients may find the sedative effects of Mirtazapine desirable?	The sedative effects of Mirtazapine may be desirable in depressed patients with insomnia.
What condition is Mirabegron indicated for?	Mirabegron is indicated for urinary urge incontinence.
What type of receptors does Mirabegron stimulate as a sympathomimetic?	Mirabegron is a sympathomimetic that stimulates β3 receptors.
What is Mirabegron and what condition is it used to treat?	Mirabegron is a β3 agonist used to treat overactive bladder.
What are the conditions under which minors may be considered emancipated?	Minors may be considered emancipated if they are self-supporting, in the military, married, or have children or pregnant.
What are the minor criteria for diagnosing rheumatic fever and what are some examples of these criteria?	The minor criteria for rheumatic fever are nonspecific and include fever and elevated ESR.
What is the characteristic finding in minimal change disease when examining glomeruli on light microscopy?	Minimal change disease is characterized by normal glomeruli on light microscopy.
What is the characteristic finding in minimal change disease when examining glomeruli on electron microscopy?	Minimal change disease is characterized by effacement of foot processes on electron microscopy.
What is the mechanism of damage and what are the characteristic findings in minimal change disease?	Minimal change disease is characterized by cytokine-mediated damage of foot processes and loss of glomerular basement anions.
What is the response of minimal change disease to corticosteroid treatment?	Minimal change disease has an excellent response to corticosteroids.
What is a rare cause of secondary minimal change disease (lipoid nephrosis)?	Minimal change disease (lipoid nephrosis) is rarely secondary to Hodgkin lymphoma.
What is the composition of mini-pill, and how does it act in the body?	Mini-pill is composed of only progestin and acts locally.
Among which group of people do mini-epidemics of Pityriasis Rosea often occur?	Mini-epidemics of Pityriasis Rosea will often occur among young adults.
In which types of adrenal insufficiency is mineralocorticoid production by the adrenal gland preserved?	Mineralocorticoid production by the adrenal gland is preserved in secondary and tertiary adrenal insufficiency.
What is a potential consequence of mineralocorticoid excess (hyperaldosteronism)?	Mineralocorticoid excess (hyperaldosteronism) may cause metabolic alkalosis.
What effect does milrinone have on arterioles and afterload?	Milrinone causes arteriolar dilation and thus decreased afterload.
What class of inhibitors are milrinone and inamrinone, and what condition are they used to treat?	Milrinone and inamrinone are PDE-3 inhibitors used in the treatment of acute heart failure.
What condition is associated with milky ascites, and what are some possible causes of this condition?	Milky ascites is seen in a chylous ascites, which can be caused by malignancy or cirrhosis.
What are the three main features that characterize milk alkali syndrome?	Milk alkali syndrome is characterized by a triad of hypercalcemia, metabolic alkalosis, and AKI.
What is the cause of miliary tuberculosis and where does the infection typically spread?	Miliary tuberculosis develops when the infection is disseminated into the blood (bacteremia).
What are the different treatment options for mild uncomplicated pyelonephritis and complicated pyelonephritis?	Mild uncomplicated pyelonephritis can be treated orally, while complicated pyelonephritis may require intravenous treatment.
What condition can result from mild trauma in elderly individuals and cause a gradual decline in mental function?	Chronic subdural hematoma can result from mild trauma in elderly individuals and cause a gradual decline in mental function.
What is mild osteopetrosis, and at what age does it typically present?	Mild osteopetrosis is an autosomal dominant "marble bone disease" that typically presents in adolescence or adulthood.
What is the typical result of mild global cerebral ischemia, and how does recovery usually occur?	Mild global cerebral ischemia typically results in transient confusion, but recovery is usually prompt.
How is mild euvolemic or hypervolemic hyponatremia typically managed?	Mild euvolemic or hypervolemic hyponatremia is typically managed with fluid restriction.
What is another name for migratory thrombophlebitis in pancreatic adenocarcinoma?	Migratory thrombophlebitis in pancreatic adenocarcinoma is also known as the Trousseau syndrome.
With which specific type of cancer is Migratory Thrombophlebitis (Trousseau's syndrome) associated as a paraneoplastic syndrome?	Migratory Thrombophlebitis (Trousseau's syndrome) is a paraneoplastic syndrome associated with pancreatic adenocarcinoma.
In which specific disease is Migratory thrombophlebitis (Trousseau syndrome) observed?	Migratory thrombophlebitis (Trousseau syndrome) is seen in pancreatic ductal adenocarcinoma.
What are the methods that can be used to remedy migration bias?	Migration bias can be remedied with the 5 and 20 rule or the Best/Worst Case analysis.
What is migration (attrition) bias and when does it occur in a study?	Migration (attrition) bias is a form of selection bias that occurs when patients drop out of the study prematurely.
What are the common symptoms associated with migraines?	Migraines typically present as a pulsating pain with nausea, photophobia, or phonophobia.
What is the typical duration of migraines?	Migraines generally last from 4 to 72 hours.
What is the typical pattern of pain distribution in migraines?	Migraines are uni-lateral.
Which gender is more likely to experience migraines?	Migraines are more common in females.
Is there any contraindication to estrogen use for individuals with migraine with aura?	Yes, migraine with aura is a contraindication to estrogen use.
What are some medications that can be used to treat hypercortisolism?	Mifepristone, Mitotane, Metyrapone, and Ketoconazole can be used to treat hypercortisolism.
